tx_price,sqft,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,during_recession,two_and_two,property_age,school_score,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Metal,exterior_walls_Missing,exterior_walls_Other,exterior_walls_Siding (Alum/Vinyl),exterior_walls_Wood,roof_Asbestos,roof_Asphalt,roof_Built-up,roof_Composition Shingle,roof_Gravel/Rock,roof_Metal,roof_Missing,roof_Other,roof_Roll Composition,roof_Shake Shingle,roof_Slate,property_type_Apartment / Condo / Townhouse,property_type_Single-Family
295850,584,0,0.0,107,9,30,19,89,6,47,58,33.0,65.0,84.0,234.0,81.0,1,0,0,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
216500,612,0,1.0,105,15,6,13,87,2,26,14,39.0,73.0,69.0,169.0,51.0,0,0,41,9.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
279900,615,0,0.0,183,13,31,30,101,10,74,62,28.0,15.0,86.0,216.0,74.0,1,0,49,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
379900,618,33541,0.0,198,9,38,25,127,11,72,83,36.0,25.0,91.0,265.0,92.0,0,0,5,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
340000,634,0,0.0,149,7,22,20,83,10,50,73,37.0,20.0,75.0,88.0,30.0,0,0,10,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
265000,641,0,0.0,146,10,23,27,86,9,60,52,28.0,15.0,86.0,168.0,58.0,0,0,57,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
240000,642,0,0.0,159,13,36,17,92,12,66,50,28.0,36.0,88.0,176.0,61.0,1,0,67,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
388100,650,33541,0.0,198,9,38,25,127,11,72,83,36.0,25.0,91.0,266.0,92.0,0,0,5,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
240000,660,0,0.0,51,8,6,2,40,18,32,41,36.0,49.0,77.0,188.0,65.0,1,0,30,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
250000,664,0,0.0,119,10,26,25,183,13,70,36,57.0,13.0,83.0,147.0,51.0,0,0,42,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
335000,669,0,0.0,148,10,27,23,57,5,37,29,34.0,29.0,88.0,248.0,86.0,0,0,9,18.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
376750,673,46609,0.0,193,10,37,27,133,10,74,86,29.0,15.0,82.0,262.0,90.0,0,0,1,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
210000,680,0,1.0,8,1,0,3,10,1,10,10,60.0,15.0,63.0,147.0,44.0,0,0,43,12.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
289900,685,48787,0.0,189,13,37,31,102,11,75,64,28.0,15.0,86.0,195.0,68.0,0,0,45,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
535000,687,0,0.0,266,12,54,45,328,35,126,88,28.0,52.0,72.0,421.0,146.0,0,0,6,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
218000,689,0,1.0,150,6,20,27,329,12,83,46,32.0,33.0,92.0,188.0,57.0,0,0,21,30.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
400000,689,0,0.0,198,9,38,25,126,12,72,84,29.0,15.0,82.0,276.0,96.0,0,0,8,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
226000,690,0,1.0,60,3,9,15,156,3,30,12,36.0,47.0,83.0,221.0,67.0,0,0,11,24.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
363700,692,0,0.0,180,14,37,34,104,13,72,68,36.0,25.0,75.0,302.0,104.0,0,0,0,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
215000,698,0,0.0,31,6,5,8,32,2,19,14,32.0,60.0,47.0,120.0,42.0,0,0,42,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
327000,698,9686,0.0,146,7,22,20,79,10,49,74,27.0,21.0,94.0,256.0,88.0,1,0,5,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
331100,700,9686,0.0,146,7,22,20,79,10,49,74,27.0,21.0,94.0,251.0,87.0,1,0,7,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
240000,703,0,1.0,82,6,7,8,45,6,52,13,30.0,46.0,36.0,139.0,42.0,0,0,13,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
320000,704,0,1.0,99,8,8,11,103,4,47,34,31.0,30.0,99.0,261.0,79.0,0,0,2,24.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
290800,704,0,1.0,99,9,8,11,103,4,46,34,31.0,30.0,99.0,257.0,78.0,0,0,0,24.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
375000,705,0,0.0,182,10,31,25,103,10,63,83,33.0,21.0,99.0,244.0,85.0,0,0,20,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
